run_number,completed_cars,avg_system_time,cleaning_utilization,primer_utilization,paint_utilization,cleaning_max_queue,primer_max_queue,paint_max_queue,alerts_triggered,bottleneck
1,12,225.26857751817283,99.23018523349138,64.6011381837091,86.89810342412524,21,0,10,3,Cleaning
2,12,222.71318192853332,97.942713525272,67.76553684125547,87.06556121830322,19,0,12,2,Cleaning
3,12,227.74715288716519,99.58250373072471,64.01146147063525,86.96600016420987,21,0,11,2,Cleaning
4,12,231.95406470222522,98.80591543125958,67.20894622789042,88.97217403683635,20,0,12,3,Cleaning
5,11,221.95738872222,97.08710834390587,62.83927702818859,84.82691459231516,22,0,12,3,Cleaning
6,12,218.50444814410346,96.68743445771888,68.68114270211242,89.66651689925062,19,0,13,3,Cleaning
7,12,212.83841204540036,98.69522326244055,65.40608193334214,87.03691367314207,18,0,11,4,Cleaning
8,12,216.78262648294879,98.10347877441535,70.29245708190643,85.56710869805141,20,0,12,2,Cleaning
9,11,216.31851436565475,97.45847281883194,68.68189464104711,82.80109972036833,18,0,12,4,Cleaning
10,12,216.1661252636212,99.37730061490339,61.28057551115703,88.23050162608354,21,0,11,3,Cleaning
11,12,222.19366162874667,98.22108754462658,64.10841280562927,87.59256555450945,20,0,11,4,Cleaning
12,12,219.57538405188072,98.50977956135527,65.06719345303105,88.37855824382265,19,0,12,3,Cleaning
13,12,228.981678189695,98.8288974603547,61.4280383461807,90.53607897175972,21,0,12,3,Cleaning
14,12,211.1500790727229,99.75460551508425,70.89362053798554,85.40064351108624,19,0,12,4,Cleaning
15,12,214.29217835059788,96.68439276095422,68.65256158962819,87.32775831227832,20,0,12,4,Cleaning
16,12,225.97614948433684,97.80203955556827,55.83407012225183,89.67779774038873,20,0,12,4,Cleaning
17,11,215.00939478387426,98.14600057340593,66.14449539089034,82.4769351406046,21,0,12,3,Cleaning
18,11,215.725268261283,98.82189621443402,61.00009144437205,82.95680749410043,21,0,11,2,Cleaning
19,12,220.83351733753116,99.86772141481224,65.82411563722384,86.9285494548135,20,0,11,3,Cleaning
20,12,222.14695060526984,97.46850159787179,71.99485656456271,86.16239641223049,19,0,12,3,Cleaning
